section,background,metric,auc,delong_ci_lo,delong_ci_hi,clusterboot_ci_lo,clusterboot_ci_hi,specificity,sensitivity,n_signal,n_neutral,note
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,cosine,0.5842,,,,,0.9,0.245,600,250,threshold = neutral 90% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,cosine,0.5842,,,,,0.95,0.235,600,250,threshold = neutral 95% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,cosine,0.5842,,,,,0.99,0.08,600,250,threshold = neutral 99% quantile; orientation higher=signal
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,kf_over_kt,0.437,,,,,0.9,0.0033,600,250,threshold = neutral 90% quantile; orientation lower=signal (score negated)
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,kf_over_kt,0.437,,,,,0.95,0.0,600,250,threshold = neutral 95% quantile; orientation lower=signal (score negated)
A4b_sensitivity_at_fixed_specificity,marrow_B_cell,kf_over_kt,0.437,,,,,0.99,0.0,600,250,threshold = neutral 99% quantile; orientation lower=signal (score negated)
A4c_per_background_auc,marrow_B_cell,omega,0.8042,0.7703,0.838,0.8491,0.0,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 20.81, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,marrow_B_cell,k_f,0.7159,0.6773,0.7545,0.7589,0.0133,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.05206, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,marrow_B_cell,k_n,0.2127,0.1749,0.2504,0.2037,0.08,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.002846, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,marrow_B_cell,k_total,0.6401,0.6006,0.6796,0.769,0.9933,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.003569, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,marrow_B_cell,cosine,0.5842,0.5431,0.6253,0.6722,0.6667,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.01461, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,marrow_B_cell,kf_over_kt,0.437,0.391,0.4831,0.3666,0.0,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 15.78, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,keratinocyte_stem_cell,omega,0.9076,0.8875,0.9277,0.9922,0.9133,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 14.11, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,keratinocyte_stem_cell,k_f,0.8585,0.8339,0.8831,0.9898,0.9267,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.0159, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,keratinocyte_stem_cell,k_n,0.2072,0.1686,0.2458,0.1957,0.1,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.001285, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,keratinocyte_stem_cell,k_total,0.6492,0.6097,0.6887,0.7853,1.0,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.001674, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,keratinocyte_stem_cell,cosine,0.6078,0.5674,0.6482,0.7241,1.0,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 0.007229, n=150); power is strongly background-dependent even when AUC is not"
A4c_per_background_auc,keratinocyte_stem_cell,kf_over_kt,0.539,0.4931,0.5849,0.562,0.0,,,600,250,"auc: pooled delta>=0.25 with DeLong CI; clusterboot_ci_lo column = AUC at delta=1.0; clusterboot_ci_hi column = detection power at delta=1.0 (signal above background-specific null-95th threshold 11.15, n=150); power is strongly background-dependent even when AUC is not"
